epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.99853,2.0215,4.97619,1.66294,0,0,0,0,2.18088,4.79383,2.02027,7.101e-05,2.367e-05,7.101e-05,2.367e-05,7.101e-05,2.367e-05,7.101e-05,2.367e-05
2,8.5564,2.01401,5.00464,1.64717,0,0,0,0,2.15263,4.76427,1.97101,0.000148426,4.94753e-05,0.000148426,4.94753e-05,0.000148426,4.94753e-05,0.000148426,4.94753e-05
3,11.1449,1.9474,4.91999,1.63,0,0,0,0,2.0999,4.73853,1.92214,0.00022428,7.47599e-05,0.00022428,7.47599e-05,0.00022428,7.47599e-05,0.00022428,7.47599e-05
4,13.8028,1.98502,4.93203,1.6504,0,0,0,0,2.02205,4.73222,1.86329,0.000298571,9.95237e-05,0.000298571,9.95237e-05,0.000298571,9.95237e-05,0.000298571,9.95237e-05
5,16.8032,1.93374,4.95489,1.60361,0,0,0,0,1.96414,4.71167,1.80379,0.0003713,0.000123767,0.0003713,0.000123767,0.0003713,0.000123767,0.0003713,0.000123767
6,20.0388,1.81461,4.90749,1.5419,0,0,0,0,1.90652,4.69033,1.7464,0.000442467,0.000147489,0.000442467,0.000147489,0.000442467,0.000147489,0.000442467,0.000147489
7,22.4046,1.80431,4.89561,1.52574,0,0,0,0,1.87545,4.68255,1.72383,0.000512072,0.000170691,0.000512072,0.000170691,0.000512072,0.000170691,0.000512072,0.000170691
8,24.8036,1.74703,4.88392,1.48593,0,0,0,0,1.81095,4.65014,1.6731,0.000580115,0.000193372,0.000580115,0.000193372,0.000580115,0.000193372,0.000580115,0.000193372
9,27.8974,1.67986,4.85558,1.45626,0,0,0,0,1.76102,4.63659,1.6354,0.000646595,0.000215532,0.000646595,0.000215532,0.000646595,0.000215532,0.000646595,0.000215532
10,31.3489,1.57945,4.84805,1.39763,0,0,0,0,1.66999,4.61066,1.58105,0.000711513,0.000237171,0.000711513,0.000237171,0.000711513,0.000237171,0.000711513,0.000237171
11,33.6913,1.52415,4.79395,1.35619,0,0,0,0,1.64255,4.58917,1.55779,0.000710889,0.000236963,0.000710889,0.000236963,0.000710889,0.000236963,0.000710889,0.000236963
12,36.1331,1.5222,4.83121,1.34936,0.01961,0.00427,0.01031,0.00692,1.60444,4.56948,1.53348,0.000703078,0.000234359,0.000703078,0.000234359,0.000703078,0.000234359,0.000703078,0.000234359
13,38.6113,1.4637,4.76168,1.31772,0.01923,0.00641,0.01055,0.00738,1.57168,4.55294,1.51497,0.000695267,0.000231756,0.000695267,0.000231756,0.000695267,0.000231756,0.000695267,0.000231756
14,41.2902,1.44466,4.77603,1.29889,0.02857,0.01282,0.02032,0.0166,1.50226,4.50056,1.46472,0.000687456,0.000229152,0.000687456,0.000229152,0.000687456,0.000229152,0.000687456,0.000229152
15,44.5303,1.40284,4.76759,1.27891,0.03373,0.01816,0.02605,0.02247,1.48236,4.47819,1.44616,0.000679645,0.000226548,0.000679645,0.000226548,0.000679645,0.000226548,0.000679645,0.000226548
16,46.9013,1.35604,4.72755,1.23965,0.03667,0.0235,0.03104,0.02668,1.46357,4.46536,1.44037,0.000671833,0.000223945,0.000671833,0.000223945,0.000671833,0.000223945,0.000671833,0.000223945
17,49.2887,1.28864,4.7062,1.20204,0.08179,0.03312,0.05659,0.04415,1.44252,4.44715,1.4287,0.000664022,0.000221341,0.000664022,0.000221341,0.000664022,0.000221341,0.000664022,0.000221341
18,51.8619,1.30952,4.67975,1.21839,0.08003,0.05128,0.06305,0.04973,1.38865,4.41165,1.40073,0.000656211,0.000218737,0.000656211,0.000218737,0.000656211,0.000218737,0.000656211,0.000218737
19,54.8251,1.31403,4.67991,1.21317,0.07745,0.05769,0.06241,0.05091,1.34108,4.3925,1.37762,0.0006484,0.000216133,0.0006484,0.000216133,0.0006484,0.000216133,0.0006484,0.000216133
20,57.648,1.3126,4.69471,1.19632,0.06392,0.0609,0.05701,0.04766,1.30691,4.37067,1.36499,0.000640589,0.00021353,0.000640589,0.00021353,0.000640589,0.00021353,0.000640589,0.00021353
21,60.0387,1.24746,4.64564,1.1729,0.07934,0.06838,0.06698,0.0573,1.28445,4.34762,1.34867,0.000632778,0.000210926,0.000632778,0.000210926,0.000632778,0.000210926,0.000632778,0.000210926
22,62.5594,1.21629,4.61129,1.1268,0.12279,0.09287,0.09499,0.08196,1.24119,4.29939,1.31572,0.000624967,0.000208322,0.000624967,0.000208322,0.000624967,0.000208322,0.000624967,0.000208322
23,64.9353,1.21914,4.61555,1.14661,0.12733,0.10543,0.10103,0.08692,1.22541,4.28244,1.30711,0.000617156,0.000205719,0.000617156,0.000205719,0.000617156,0.000205719,0.000617156,0.000205719
24,68.3007,1.18741,4.60121,1.13226,0.12257,0.11283,0.10043,0.08692,1.20878,4.26054,1.29347,0.000609345,0.000203115,0.000609345,0.000203115,0.000609345,0.000203115,0.000609345,0.000203115
25,70.8126,1.19088,4.59464,1.12961,0.11926,0.12405,0.10311,0.08892,1.20044,4.2422,1.29252,0.000601534,0.000200511,0.000601534,0.000200511,0.000601534,0.000200511,0.000601534,0.000200511
26,73.3273,1.21995,4.56758,1.1279,0.13996,0.15736,0.12555,0.10762,1.15893,4.18866,1.25902,0.000593722,0.000197907,0.000593722,0.000197907,0.000593722,0.000197907,0.000593722,0.000197907
27,75.7298,1.19626,4.51548,1.15132,0.1423,0.1643,0.13028,0.11223,1.13818,4.16447,1.24354,0.000585911,0.000195304,0.000585911,0.000195304,0.000585911,0.000195304,0.000585911,0.000195304
28,78.1448,1.15488,4.48738,1.12256,0.13851,0.18105,0.13376,0.11457,1.12828,4.14565,1.23782,0.0005781,0.0001927,0.0005781,0.0001927,0.0005781,0.0001927,0.0005781,0.0001927
29,81.8564,1.13411,4.48692,1.10744,0.1371,0.19166,0.13771,0.1177,1.11596,4.12612,1.22739,0.000570289,0.000190096,0.000570289,0.000190096,0.000570289,0.000190096,0.000570289,0.000190096
30,84.419,1.09042,4.43211,1.09463,0.12997,0.20383,0.13902,0.11864,1.09499,4.09017,1.20888,0.000562478,0.000187493,0.000562478,0.000187493,0.000562478,0.000187493,0.000562478,0.000187493
31,86.8588,1.05039,4.36773,1.05713,0.13276,0.21604,0.14294,0.12238,1.08678,4.07395,1.2043,0.000554667,0.000184889,0.000554667,0.000184889,0.000554667,0.000184889,0.000554667,0.000184889
32,89.3341,1.09612,4.39721,1.08177,0.1264,0.22192,0.14232,0.1216,1.07699,4.05628,1.19735,0.000546856,0.000182285,0.000546856,0.000182285,0.000546856,0.000182285,0.000546856,0.000182285
33,91.8111,1.0848,4.39796,1.04616,0.12611,0.23542,0.14549,0.12406,1.07897,4.04079,1.20256,0.000539045,0.000179682,0.000539045,0.000179682,0.000539045,0.000179682,0.000539045,0.000179682
34,95.3019,1.08032,4.35609,1.07359,0.11667,0.26477,0.14849,0.12625,1.0648,4.00195,1.19755,0.000531234,0.000177078,0.000531234,0.000177078,0.000531234,0.000177078,0.000531234,0.000177078
35,97.641,1.11436,4.3568,1.07939,0.11541,0.28892,0.15115,0.12839,1.05296,3.98311,1.19153,0.000523423,0.000174474,0.000523423,0.000174474,0.000523423,0.000174474,0.000523423,0.000174474
36,100.109,1.05138,4.31692,1.0637,0.11707,0.30521,0.15633,0.13284,1.04315,3.96217,1.18372,0.000515611,0.000171871,0.000515611,0.000171871,0.000515611,0.000171871,0.000515611,0.000171871
37,102.532,1.08725,4.30527,1.09274,0.11747,0.31845,0.16094,0.13718,1.03532,3.94282,1.1782,0.0005078,0.000169267,0.0005078,0.000169267,0.0005078,0.000169267,0.0005078,0.000169267
38,105.725,1.02879,4.32042,1.04176,0.11746,0.34634,0.16866,0.14485,1.01061,3.90978,1.15642,0.000499989,0.000166663,0.000499989,0.000166663,0.000499989,0.000166663,0.000499989,0.000166663
39,108.468,1.0071,4.22274,1.0442,0.11577,0.35894,0.17114,0.14679,1.00928,3.89239,1.15367,0.000492178,0.000164059,0.000492178,0.000164059,0.000492178,0.000164059,0.000492178,0.000164059
40,110.95,1.0047,4.2088,1.06079,0.116,0.37355,0.17429,0.14968,1.00959,3.88225,1.16226,0.000484367,0.000161456,0.000484367,0.000161456,0.000484367,0.000161456,0.000484367,0.000161456
41,113.361,1.01473,4.22291,1.03802,0.11587,0.39236,0.17847,0.15323,1.00329,3.86813,1.15815,0.000476556,0.000158852,0.000476556,0.000158852,0.000476556,0.000158852,0.000476556,0.000158852
42,115.87,1.05251,4.23188,1.06346,0.11505,0.44227,0.1863,0.16003,0.99348,3.83442,1.15484,0.000468745,0.000156248,0.000468745,0.000156248,0.000468745,0.000156248,0.000468745,0.000156248
43,119.349,0.99021,4.13953,1.04016,0.11627,0.4612,0.19196,0.16522,0.97959,3.81825,1.14604,0.000460934,0.000153645,0.000460934,0.000153645,0.000460934,0.000153645,0.000460934,0.000153645
44,121.812,1.00582,4.15113,1.03593,0.11724,0.4863,0.1962,0.16871,0.97254,3.7946,1.13684,0.000453123,0.000151041,0.000453123,0.000151041,0.000453123,0.000151041,0.000453123,0.000151041
45,124.24,1.04004,4.14089,1.05953,0.11696,0.50271,0.20045,0.17265,0.96664,3.78314,1.13707,0.000445312,0.000148437,0.000445312,0.000148437,0.000445312,0.000148437,0.000445312,0.000148437
46,126.743,1.02507,4.12734,1.06192,0.11322,0.53205,0.20814,0.17943,0.96069,3.75075,1.13207,0.0004375,0.000145834,0.0004375,0.000145834,0.0004375,0.000145834,0.0004375,0.000145834
47,129.128,0.96697,4.06674,1.03668,0.11383,0.54006,0.21336,0.18375,0.95694,3.73921,1.1336,0.000429689,0.00014323,0.000429689,0.00014323,0.000429689,0.00014323,0.000429689,0.00014323
48,132.641,0.97266,4.05705,1.03197,0.1127,0.539,0.21891,0.18926,0.94778,3.73283,1.13642,0.000421878,0.000140626,0.000421878,0.000140626,0.000421878,0.000140626,0.000421878,0.000140626
49,135.072,0.92684,3.99297,1.00521,0.11191,0.55456,0.22423,0.19358,0.94379,3.7161,1.13344,0.000414067,0.000138022,0.000414067,0.000138022,0.000414067,0.000138022,0.000414067,0.000138022
50,137.582,0.96734,4.04373,1.03254,0.11028,0.57879,0.23561,0.20489,0.93033,3.68669,1.12708,0.000406256,0.000135419,0.000406256,0.000135419,0.000406256,0.000135419,0.000406256,0.000135419
51,140.037,0.96602,3.98622,1.03373,0.10849,0.582,0.23725,0.2062,0.92583,3.67453,1.12279,0.000398445,0.000132815,0.000398445,0.000132815,0.000398445,0.000132815,0.000398445,0.000132815
52,142.699,0.95753,3.95833,1.03352,0.10576,0.59253,0.23937,0.20806,0.9276,3.65622,1.12548,0.000390634,0.000130211,0.000390634,0.000130211,0.000390634,0.000130211,0.000390634,0.000130211
53,145.953,0.95426,3.9642,1.03155,0.10549,0.5936,0.24201,0.21106,0.92307,3.64746,1.1237,0.000382823,0.000127608,0.000382823,0.000127608,0.000382823,0.000127608,0.000382823,0.000127608
54,148.533,0.93504,3.91991,1.01901,0.10286,0.59459,0.24653,0.21532,0.90769,3.6252,1.11918,0.000375012,0.000125004,0.000375012,0.000125004,0.000375012,0.000125004,0.000375012,0.000125004
55,150.929,0.97359,3.94071,1.04031,0.10126,0.59779,0.25084,0.21852,0.90484,3.61401,1.11675,0.000367201,0.0001224,0.000367201,0.0001224,0.000367201,0.0001224,0.000367201,0.0001224
56,153.33,0.95699,3.90379,1.03385,0.10052,0.60314,0.25219,0.21936,0.90545,3.60339,1.11968,0.000359389,0.000119796,0.000359389,0.000119796,0.000359389,0.000119796,0.000359389,0.000119796
57,156.592,0.95917,3.96586,1.03238,0.09959,0.61489,0.25273,0.21948,0.90378,3.58899,1.12036,0.000351578,0.000117193,0.000351578,0.000117193,0.000351578,0.000117193,0.000351578,0.000117193
58,159.435,0.9421,3.95474,1.00506,0.09843,0.6213,0.25917,0.22572,0.89269,3.57129,1.11374,0.000343767,0.000114589,0.000343767,0.000114589,0.000343767,0.000114589,0.000343767,0.000114589
59,161.81,0.99323,3.90496,1.04216,0.09849,0.63397,0.26265,0.22876,0.89189,3.55896,1.11561,0.000335956,0.000111985,0.000335956,0.000111985,0.000335956,0.000111985,0.000335956,0.000111985
60,164.176,0.9299,3.87448,1.01654,0.09937,0.64778,0.26548,0.23012,0.89605,3.54797,1.11797,0.000328145,0.000109382,0.000328145,0.000109382,0.000328145,0.000109382,0.000328145,0.000109382
61,166.661,0.92707,3.84786,1.02295,0.099,0.64465,0.2697,0.23422,0.88656,3.54115,1.11439,0.000320334,0.000106778,0.000320334,0.000106778,0.000320334,0.000106778,0.000320334,0.000106778
62,170.221,0.93299,3.81823,1.0231,0.09816,0.6564,0.27419,0.23825,0.88219,3.52052,1.11335,0.000312523,0.000104174,0.000312523,0.000104174,0.000312523,0.000104174,0.000312523,0.000104174
63,172.765,0.9716,3.82747,1.05774,0.0986,0.6735,0.27805,0.24123,0.88352,3.50542,1.11357,0.000304712,0.000101571,0.000304712,0.000101571,0.000304712,0.000101571,0.000304712,0.000101571
64,175.153,0.89785,3.79114,0.99666,0.10013,0.69051,0.28377,0.24574,0.8875,3.49641,1.11827,0.000296901,9.89669e-05,0.000296901,9.89669e-05,0.000296901,9.89669e-05,0.000296901,9.89669e-05
65,177.545,0.88749,3.68216,0.98852,0.10099,0.70013,0.28677,0.24797,0.88908,3.48848,1.12333,0.00028909,9.63632e-05,0.00028909,9.63632e-05,0.00028909,9.63632e-05,0.00028909,9.63632e-05
66,180.259,0.93352,3.75019,1.02767,0.10145,0.73539,0.29464,0.25478,0.87917,3.46345,1.11393,0.000281278,9.37595e-05,0.000281278,9.37595e-05,0.000281278,9.37595e-05,0.000281278,9.37595e-05
67,183.662,0.95866,3.76262,1.02861,0.10113,0.74607,0.2969,0.25651,0.88461,3.45023,1.11867,0.000273467,9.11558e-05,0.000273467,9.11558e-05,0.000273467,9.11558e-05,0.000273467,9.11558e-05
68,186.066,0.94494,3.75943,1.01797,0.10136,0.74687,0.30105,0.26026,0.88091,3.44567,1.11889,0.000265656,8.85521e-05,0.000265656,8.85521e-05,0.000265656,8.85521e-05,0.000265656,8.85521e-05
69,188.467,0.89557,3.70508,1.00428,0.10098,0.75435,0.3047,0.26229,0.88396,3.43072,1.11978,0.000257845,8.59484e-05,0.000257845,8.59484e-05,0.000257845,8.59484e-05,0.000257845,8.59484e-05
70,190.991,0.92067,3.70989,1.02182,0.09982,0.75008,0.31259,0.26961,0.89122,3.41854,1.12673,0.000250034,8.33447e-05,0.000250034,8.33447e-05,0.000250034,8.33447e-05,0.000250034,8.33447e-05
71,193.948,0.90985,3.68528,1.0175,0.09957,0.76397,0.31542,0.27146,0.88438,3.40007,1.1187,0.000242223,8.0741e-05,0.000242223,8.0741e-05,0.000242223,8.0741e-05,0.000242223,8.0741e-05
72,196.907,0.90915,3.70997,1.00428,0.09906,0.7661,0.31765,0.27291,0.88262,3.38899,1.11734,0.000234412,7.81373e-05,0.000234412,7.81373e-05,0.000234412,7.81373e-05,0.000234412,7.81373e-05
73,199.314,0.92981,3.66278,1.0435,0.0989,0.77465,0.31917,0.27504,0.87703,3.37584,1.1129,0.000226601,7.55336e-05,0.000226601,7.55336e-05,0.000226601,7.55336e-05,0.000226601,7.55336e-05
74,201.897,0.95968,3.61588,1.06633,0.09895,0.78426,0.3264,0.28056,0.8636,3.35131,1.10387,0.00021879,7.29299e-05,0.00021879,7.29299e-05,0.00021879,7.29299e-05,0.00021879,7.29299e-05
75,204.351,0.89296,3.64,1.00495,0.09895,0.78026,0.32835,0.28244,0.85958,3.35095,1.10276,0.000210979,7.03262e-05,0.000210979,7.03262e-05,0.000210979,7.03262e-05,0.000210979,7.03262e-05
76,207.686,0.87486,3.54385,1.00033,0.09898,0.78125,0.33114,0.28444,0.85853,3.34358,1.10215,0.000203168,6.77225e-05,0.000203168,6.77225e-05,0.000203168,6.77225e-05,0.000203168,6.77225e-05
77,210.337,0.87753,3.57926,1.01178,0.09876,0.78125,0.33373,0.2867,0.85489,3.33476,1.10312,0.000195356,6.51188e-05,0.000195356,6.51188e-05,0.000195356,6.51188e-05,0.000195356,6.51188e-05
78,212.948,0.89556,3.51107,1.02015,0.09731,0.79487,0.33738,0.28983,0.85686,3.30687,1.10191,0.000187545,6.25151e-05,0.000187545,6.25151e-05,0.000187545,6.25151e-05,0.000187545,6.25151e-05
79,215.391,0.89742,3.56024,1.00107,0.09686,0.80021,0.33989,0.2918,0.85776,3.29211,1.10095,0.000179734,5.99114e-05,0.000179734,5.99114e-05,0.000179734,5.99114e-05,0.000179734,5.99114e-05
80,217.732,0.93937,3.58211,1.04561,0.09711,0.80235,0.34324,0.2952,0.85457,3.28611,1.09989,0.000171923,5.73077e-05,0.000171923,5.73077e-05,0.000171923,5.73077e-05,0.000171923,5.73077e-05
81,221.182,0.89758,3.53835,1.01045,0.09673,0.8141,0.34432,0.29578,0.85874,3.26812,1.1019,0.000164112,5.4704e-05,0.000164112,5.4704e-05,0.000164112,5.4704e-05,0.000164112,5.4704e-05
82,223.714,0.94606,3.58844,1.04232,0.0968,0.82376,0.34935,0.30059,0.85743,3.25643,1.10113,0.000156301,5.21003e-05,0.000156301,5.21003e-05,0.000156301,5.21003e-05,0.000156301,5.21003e-05
83,226.136,0.94892,3.54574,1.04296,0.09651,0.82376,0.35144,0.30197,0.85406,3.25081,1.09754,0.00014849,4.94966e-05,0.00014849,4.94966e-05,0.00014849,4.94966e-05,0.00014849,4.94966e-05
84,228.565,0.88726,3.50424,1.00754,0.09648,0.8291,0.35304,0.30299,0.85107,3.23942,1.09532,0.000140679,4.68929e-05,0.000140679,4.68929e-05,0.000140679,4.68929e-05,0.000140679,4.68929e-05
85,231.242,0.91157,3.52128,1.03045,0.09686,0.8249,0.35474,0.30522,0.84818,3.24212,1.09455,0.000132868,4.42892e-05,0.000132868,4.42892e-05,0.000132868,4.42892e-05,0.000132868,4.42892e-05
86,234.602,0.91712,3.48015,1.03311,0.09673,0.82902,0.35637,0.30703,0.84772,3.23047,1.09444,0.000125057,4.16855e-05,0.000125057,4.16855e-05,0.000125057,4.16855e-05,0.000125057,4.16855e-05
87,237.084,0.94538,3.49475,1.04932,0.09467,0.83436,0.35703,0.30683,0.85419,3.20495,1.09337,0.000117245,3.90818e-05,0.000117245,3.90818e-05,0.000117245,3.90818e-05,0.000117245,3.90818e-05
88,239.544,0.92498,3.55165,1.02962,0.09513,0.8323,0.35902,0.30973,0.8515,3.20635,1.09438,0.000109434,3.64781e-05,0.000109434,3.64781e-05,0.000109434,3.64781e-05,0.000109434,3.64781e-05
89,241.917,0.9132,3.48019,1.03558,0.09509,0.83337,0.36078,0.31098,0.85203,3.2042,1.09748,0.000101623,3.38744e-05,0.000101623,3.38744e-05,0.000101623,3.38744e-05,0.000101623,3.38744e-05
90,245.203,0.93519,3.48785,1.0463,0.09304,0.83551,0.36219,0.31251,0.85151,3.18074,1.09522,9.38121e-05,3.12707e-05,9.38121e-05,3.12707e-05,9.38121e-05,3.12707e-05,9.38121e-05,3.12707e-05
91,249.73,0.90821,3.09459,1.02023,0.08827,0.84051,0.35604,0.30536,0.86688,3.1398,1.09083,8.6001e-05,2.8667e-05,8.6001e-05,2.8667e-05,8.6001e-05,2.8667e-05,8.6001e-05,2.8667e-05
92,252.092,0.9028,3.16212,1.02383,0.08365,0.8415,0.34782,0.29626,0.87472,3.10499,1.08031,7.81899e-05,2.60633e-05,7.81899e-05,2.60633e-05,7.81899e-05,2.60633e-05,7.81899e-05,2.60633e-05
93,254.413,0.88961,3.11656,1.0166,0.08003,0.8457,0.33867,0.28615,0.87873,3.07329,1.0788,7.03788e-05,2.34596e-05,7.03788e-05,2.34596e-05,7.03788e-05,2.34596e-05,7.03788e-05,2.34596e-05
94,257.24,0.8794,3.09857,1.02882,0.07733,0.84966,0.32954,0.27657,0.88423,3.05382,1.08458,6.25677e-05,2.08559e-05,6.25677e-05,2.08559e-05,6.25677e-05,2.08559e-05,6.25677e-05,2.08559e-05
95,260.192,0.88772,3.09148,1.01465,0.07692,0.85379,0.32532,0.27251,0.90408,3.04713,1.09978,5.47566e-05,1.82522e-05,5.47566e-05,1.82522e-05,5.47566e-05,1.82522e-05,5.47566e-05,1.82522e-05
96,262.682,0.89133,3.09001,1.01009,0.07539,0.85058,0.3228,0.26935,0.89338,3.03312,1.09016,4.69455e-05,1.56485e-05,4.69455e-05,1.56485e-05,4.69455e-05,1.56485e-05,4.69455e-05,1.56485e-05
97,265.136,0.91,3.10468,1.0069,0.07532,0.85478,0.3179,0.2639,0.89014,3.02685,1.08251,3.91344e-05,1.30448e-05,3.91344e-05,1.30448e-05,3.91344e-05,1.30448e-05,3.91344e-05,1.30448e-05
98,267.604,0.88802,3.06031,1.01352,0.07458,0.85272,0.31414,0.25975,0.90703,3.01004,1.09157,3.13233e-05,1.04411e-05,3.13233e-05,1.04411e-05,3.13233e-05,1.04411e-05,3.13233e-05,1.04411e-05
99,270.508,0.91221,3.06548,1.0251,0.07445,0.85165,0.31298,0.25848,0.91032,3.0097,1.09372,2.35122e-05,7.8374e-06,2.35122e-05,7.8374e-06,2.35122e-05,7.8374e-06,2.35122e-05,7.8374e-06
100,273.332,0.85364,3.03414,1.00402,0.07442,0.84959,0.31285,0.25843,0.91263,3.01153,1.09432,1.57011e-05,5.2337e-06,1.57011e-05,5.2337e-06,1.57011e-05,5.2337e-06,1.57011e-05,5.2337e-06
